Employee Name, Punch Date, Punch Time, Punch Type, Flagged
,04/30/2021,06:16:00.808 AM,out,no
,04/30/2021,06:16:29.198 AM,in,no
,04/30/2021,06:24:35.680 AM,in,no
,04/30/2021,06:24:45.806 AM,in,no
,04/30/2021,06:24:51.301 AM,in,no
,04/30/2021,06:26:30.973 AM,in,ghsdfjkgfkhgkfjdsghk
,04/30/2021,06:31:56.983 AM,in,ghsdfjkgfkhgkfjdsghk
,04/30/2021,06:32:06.532 AM,in,ghsdfjkgfkhgkfjdsghk
,04/30/2021,06:32:08.669 AM,in,ghsdfjkgfkhgkfjdsghk
,04/30/2021,06:40:14.898 AM,in,06:40:14.898 AM placeholder
ghsdfjkgfkhgkfjdsghk
04/30/2021,placeholder,06:40:14.898 AM,in,06:40:14.898 AM placeholder
